id,source,source_type,title,text,full_content,date,post_date,category,flag,social_media,label,label_text,verification_status,confidence_score,image_path,thumbnail_url,post_url,archive_url,blog_url,views,likes,comments,shares,verification_process,conclusion,fact_checker,has_local_image,image_file_name,image_file_size_mb,image_download_status
1,turnbackhoax,fact_check,Aturan Baru dari Prabowo: Koruptor Dana Desa Bakal Dimiskinkan,"“Prabowo: Peraturan Baru! KORUPSI Dana Desa akan saya MIskinkan, Baik yang masih Menjabat maupun yang sudah Tidak Menjabat”","Aturan Baru dari Prabowo: Koruptor Dana Desa Bakal Dimiskinkan. “Prabowo: Peraturan Baru! KORUPSI Dana Desa akan saya MIskinkan, Baik yang masih Menjabat maupun yang sudah Tidak Menjabat”. ",23/12/2024,23/12/2024,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\1\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2024/12/wm-prabowo-miskinkan-koruptor-dana-desa-678x381.png,https://turnbackhoax.id/2024/12/23/salah-aturan-baru-dari-prabowo-koruptor-dana-desa-bakal-dimiskinkan,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.23218059539794922,success
2,turnbackhoax,fact_check,Tautan Pendaftaran Undian Umroh Gratis dari Gajah Duduk,"“Siapa yang begitu rindu untuk bertamu ke tanah suci? Atau kamu ingin menghadiahkan kado terindah untuk yang terkasih? Mungkin ini kesempatanmu mendapatkan 10 tiket Umroh GRATIS dari Gajah Duduk! Buruan daftarkan diri anda untuk mendapatkan kupon undian, slot terbatas jangan sampai kehabisan⬇️⬇️⬇️
https://undian-umroh[dot]aply-in[dot]com/app
Hadiah 10 Tiket Umroh untuk Sobat Gajah Duduk”","Tautan Pendaftaran Undian Umroh Gratis dari Gajah Duduk. “Siapa yang begitu rindu untuk bertamu ke tanah suci? Atau kamu ingin menghadiahkan kado terindah untuk yang terkasih? Mungkin ini kesempatanmu mendapatkan 10 tiket Umroh GRATIS dari Gajah Duduk! Buruan daftarkan diri anda untuk mendapatkan kupon undian, slot terbatas jangan sampai kehabisan⬇️⬇️⬇️
https://undian-umroh[dot]aply-in[dot]com/app
Hadiah 10 Tiket Umroh untuk Sobat Gajah Duduk”. ",30/11/2024,30/11/2024,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\2\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2024/11/umroh-geratis-gajah-duduk-678x381.png,https://turnbackhoax.id/2024/11/30/penipuan-tautan-pendaftaran-undian-umroh-gratis-dari-gajah-duduk,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.3412961959838867,success
3,turnbackhoax,fact_check,Tesla Pamerkan Robot Optimus Pengganti Buruh Pabrik,“Tesla pamerkan robot Optimus nya untuk gantikan karyawan pabrik mendatang”,Tesla Pamerkan Robot Optimus Pengganti Buruh Pabrik. “Tesla pamerkan robot Optimus nya untuk gantikan karyawan pabrik mendatang”. ,10/03/2025,10/03/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\3\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2025/03/HEADER-Dark-Background-2-678x381.png,https://turnbackhoax.id/2025/03/10/salah-tesla-pamerkan-robot-optimus-pengganti-buruh-pabrik,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.11217975616455078,success
4,turnbackhoax,fact_check,Sri Mulyani Umumkan Program Pemutihan Pinjol dari OJK,KABAR BAIK RESMI DARI OJK!,Sri Mulyani Umumkan Program Pemutihan Pinjol dari OJK. KABAR BAIK RESMI DARI OJK!. ,23/08/2025,23/08/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\4\thumbnail.jpg,https://turnbackhoax.id/wp-content/uploads/2025/08/IMG_0382-678x381.jpeg,https://turnbackhoax.id/2025/08/23/penipuan-sri-mulyani-umumkan-program-pemutihan-pinjol-dari-ojk,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.jpg,0.04746532440185547,success
5,turnbackhoax,fact_check,Video “Monster Drone Buatan Iran”,"“waw moster DRONE buatan iran bikin amerika dan israel ketakutan
IRAN DRONE
TECHNOLOGY”","Video “Monster Drone Buatan Iran”. “waw moster DRONE buatan iran bikin amerika dan israel ketakutan
IRAN DRONE
TECHNOLOGY”. ",19/07/2025,19/07/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\5\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2025/07/HEADER-Dark-Background-19-678x381.png,https://turnbackhoax.id/2025/07/19/salah-video-monster-drone-buatan-iran,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.22075939178466797,success
6,turnbackhoax,fact_check,Tautan “Pendaftaran Mitra Makan Bergizi Gratis”,"“Lowongan MITRA MAKAN SIANG GRATIS Tahun 2025
Badan Gizi Nasional Indonesia (BGN) sedang membuka pendaftaran Mitra Makan Siang Gratis Tahun 2025
Pendaftaran Gratis Tanpa di pungut biaya apapun, Daftar sekarang","Tautan “Pendaftaran Mitra Makan Bergizi Gratis”. “Lowongan MITRA MAKAN SIANG GRATIS Tahun 2025
Badan Gizi Nasional Indonesia (BGN) sedang membuka pendaftaran Mitra Makan Siang Gratis Tahun 2025
Pendaftaran Gratis Tanpa di pungut biaya apapun, Daftar sekarang. ",24/02/2025,24/02/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\6\thumbnail.jpg,https://turnbackhoax.id/wp-content/uploads/2025/02/photo_2025-02-21_11-20-59-678x381.jpg,https://turnbackhoax.id/2025/02/24/penipuan-tautan-pendaftaran-mitra-makan-bergizi-gratis,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.jpg,0.053447723388671875,success
7,turnbackhoax,fact_check,Periksa Kolesterol Lewat Genggaman Telapak Tangan,Cara memeriksa kolesterol tinggi dengan menggenggamkan telapak tangan,Periksa Kolesterol Lewat Genggaman Telapak Tangan. Cara memeriksa kolesterol tinggi dengan menggenggamkan telapak tangan. ,02/12/2024,02/12/2024,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\7\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2024/12/image-2024-11-30T093041.103-541x381.png,https://turnbackhoax.id/2024/12/02/salah-periksa-kolesterol-lewat-genggaman-telapak-tangan,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.1906280517578125,success
8,turnbackhoax,fact_check,"Kejagung Sita Aset Kaesang, Buntut Kasus Tom Lembong","“negara koplak…yg disita aset Kaesang, yg ditahan Tom Lembong.
permainannya g0bl0k !!!”","Kejagung Sita Aset Kaesang, Buntut Kasus Tom Lembong. “negara koplak…yg disita aset Kaesang, yg ditahan Tom Lembong.
permainannya g0bl0k !!!”. ",22/04/2025,22/04/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\8\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2025/04/Vania_Misleading-Content.zip-HEADER-Light-Background-678x381.png,https://turnbackhoax.id/2025/04/22/salah-kejagung-sita-aset-kaesang-buntut-kasus-tom-lembong,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.16103363037109375,success
9,turnbackhoax,fact_check,Erick Thohir Mundur dari Kursi Ketum PSSI,“🔴BIKIN SEMUANYA MEWEK ~ erick thohir langsung MUNDUR Dari PSSI usai Malu timnas kalah 4-0”,Erick Thohir Mundur dari Kursi Ketum PSSI. “🔴BIKIN SEMUANYA MEWEK ~ erick thohir langsung MUNDUR Dari PSSI usai Malu timnas kalah 4-0”. ,12/12/2024,12/12/2024,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\9\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2024/12/Desain-tanpa-judul-81-678x381.png,https://turnbackhoax.id/2024/12/12/salah-erick-thohir-mundur-dari-kursi-ketum-pssi,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.2570514678955078,success
10,turnbackhoax,fact_check,Video “Donald Trump Mengejek Pakistan”,"“Donald Trump mengolok-olok Pakistan setelah India menutup 4 sumber air yang mengalir ke Pakistan di Kashmir. Akankah hal ini semakin mempercepat perang India-Pakistan?”.
“Donald Trump menunjukkan dukungannya ke India dengan mengolok-olok Pakistan.
#warindiaandpakistan #perangduniake3 #india #pakistan #donaldtrump #trump #standforpakistan”.","Video “Donald Trump Mengejek Pakistan”. “Donald Trump mengolok-olok Pakistan setelah India menutup 4 sumber air yang mengalir ke Pakistan di Kashmir. Akankah hal ini semakin mempercepat perang India-Pakistan?”.
“Donald Trump menunjukkan dukungannya ke India dengan mengolok-olok Pakistan.
#warindiaandpakistan #perangduniake3 #india #pakistan #donaldtrump #trump #standforpakistan”.. ",04/06/2025,04/06/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\10\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2025/06/HEADER-Dark-Background-16-678x381.png,https://turnbackhoax.id/2025/06/04/salah-video-donald-trump-mengejek-pakistan,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.13215351104736328,success
11,turnbackhoax,fact_check,Video “TNI Gandakan Serangan ke Pusat Kota Israel”,“TNI GANDAKAN SERANGAN KE ISRAEL. TNI kini serang ke pusat kota Israel.”,Video “TNI Gandakan Serangan ke Pusat Kota Israel”. “TNI GANDAKAN SERANGAN KE ISRAEL. TNI kini serang ke pusat kota Israel.”. ,19/05/2025,19/05/2025,,SALAH,Twitter,0,hoax,verified_false,1.0,data\raw\turnbackhoax\images\11\thumbnail.png,https://turnbackhoax.id/wp-content/uploads/2025/05/header-tni-gandakan-serangan-ke-israel-678x381.png,https://turnbackhoax.id/2025/05/19/salah-video-tni-gandakan-serangan-ke-pusat-kota-israel,,https://turnbackhoax.id/,0,0,0,0,,,TurnBackHoax/Mafindo,True,thumbnail.png,0.12787151336669922,success
