id,blog_date,blog_title,flag,social_media,post_text,post_date,blog_check,blog_conclusion,post_view,post_likes,post_comment,post_share,post_url,archive_url,blog_url,thumbnail
1,23/12/2024,Aturan Baru dari Prabowo: Koruptor Dana Desa Bakal Dimiskinkan,SALAH,Twitter,"“Prabowo: Peraturan Baru! KORUPSI Dana Desa akan saya MIskinkan, Baik yang masih Menjabat maupun yang sudah Tidak Menjabat”",23/12/2024,,,0,0,0,0,https://turnbackhoax.id/2024/12/23/salah-aturan-baru-dari-prabowo-koruptor-dana-desa-bakal-dimiskinkan,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/12/wm-prabowo-miskinkan-koruptor-dana-desa-678x381.png
2,30/11/2024,Tautan Pendaftaran Undian Umroh Gratis dari Gajah Duduk,SALAH,Twitter,"“Siapa yang begitu rindu untuk bertamu ke tanah suci? Atau kamu ingin menghadiahkan kado terindah untuk yang terkasih? Mungkin ini kesempatanmu mendapatkan 10 tiket Umroh GRATIS dari Gajah Duduk! Buruan daftarkan diri anda untuk mendapatkan kupon undian, slot terbatas jangan sampai kehabisan⬇️⬇️⬇️
https://undian-umroh[dot]aply-in[dot]com/app
Hadiah 10 Tiket Umroh untuk Sobat Gajah Duduk”",30/11/2024,,,0,0,0,0,https://turnbackhoax.id/2024/11/30/penipuan-tautan-pendaftaran-undian-umroh-gratis-dari-gajah-duduk,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/11/umroh-geratis-gajah-duduk-678x381.png
3,10/03/2025,Tesla Pamerkan Robot Optimus Pengganti Buruh Pabrik,SALAH,Twitter,“Tesla pamerkan robot Optimus nya untuk gantikan karyawan pabrik mendatang”,10/03/2025,,,0,0,0,0,https://turnbackhoax.id/2025/03/10/salah-tesla-pamerkan-robot-optimus-pengganti-buruh-pabrik,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/03/HEADER-Dark-Background-2-678x381.png
4,23/08/2025,Sri Mulyani Umumkan Program Pemutihan Pinjol dari OJK,SALAH,Twitter,KABAR BAIK RESMI DARI OJK!,23/08/2025,,,0,0,0,0,https://turnbackhoax.id/2025/08/23/penipuan-sri-mulyani-umumkan-program-pemutihan-pinjol-dari-ojk,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/08/IMG_0382-678x381.jpeg
5,19/07/2025,Video “Monster Drone Buatan Iran”,SALAH,Twitter,"“waw moster DRONE buatan iran bikin amerika dan israel ketakutan
IRAN DRONE
TECHNOLOGY”",19/07/2025,,,0,0,0,0,https://turnbackhoax.id/2025/07/19/salah-video-monster-drone-buatan-iran,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/07/HEADER-Dark-Background-19-678x381.png
6,24/02/2025,Tautan “Pendaftaran Mitra Makan Bergizi Gratis”,SALAH,Twitter,"“Lowongan MITRA MAKAN SIANG GRATIS Tahun 2025
Badan Gizi Nasional Indonesia (BGN) sedang membuka pendaftaran Mitra Makan Siang Gratis Tahun 2025
Pendaftaran Gratis Tanpa di pungut biaya apapun, Daftar sekarang",24/02/2025,,,0,0,0,0,https://turnbackhoax.id/2025/02/24/penipuan-tautan-pendaftaran-mitra-makan-bergizi-gratis,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/02/photo_2025-02-21_11-20-59-678x381.jpg
7,02/12/2024,Periksa Kolesterol Lewat Genggaman Telapak Tangan,SALAH,Twitter,Cara memeriksa kolesterol tinggi dengan menggenggamkan telapak tangan,02/12/2024,,,0,0,0,0,https://turnbackhoax.id/2024/12/02/salah-periksa-kolesterol-lewat-genggaman-telapak-tangan,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/12/image-2024-11-30T093041.103-541x381.png
8,22/04/2025,"Kejagung Sita Aset Kaesang, Buntut Kasus Tom Lembong",SALAH,Twitter,"“negara koplak…yg disita aset Kaesang, yg ditahan Tom Lembong.
permainannya g0bl0k !!!”",22/04/2025,,,0,0,0,0,https://turnbackhoax.id/2025/04/22/salah-kejagung-sita-aset-kaesang-buntut-kasus-tom-lembong,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/04/Vania_Misleading-Content.zip-HEADER-Light-Background-678x381.png
9,12/12/2024,Erick Thohir Mundur dari Kursi Ketum PSSI,SALAH,Twitter,“🔴BIKIN SEMUANYA MEWEK ~ erick thohir langsung MUNDUR Dari PSSI usai Malu timnas kalah 4-0”,12/12/2024,,,0,0,0,0,https://turnbackhoax.id/2024/12/12/salah-erick-thohir-mundur-dari-kursi-ketum-pssi,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/12/Desain-tanpa-judul-81-678x381.png
10,04/06/2025,Video “Donald Trump Mengejek Pakistan”,SALAH,Twitter,"“Donald Trump mengolok-olok Pakistan setelah India menutup 4 sumber air yang mengalir ke Pakistan di Kashmir. Akankah hal ini semakin mempercepat perang India-Pakistan?”.
“Donald Trump menunjukkan dukungannya ke India dengan mengolok-olok Pakistan.
#warindiaandpakistan #perangduniake3 #india #pakistan #donaldtrump #trump #standforpakistan”.",04/06/2025,,,0,0,0,0,https://turnbackhoax.id/2025/06/04/salah-video-donald-trump-mengejek-pakistan,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/06/HEADER-Dark-Background-16-678x381.png
11,19/05/2025,Video “TNI Gandakan Serangan ke Pusat Kota Israel”,SALAH,Twitter,“TNI GANDAKAN SERANGAN KE ISRAEL. TNI kini serang ke pusat kota Israel.”,19/05/2025,,,0,0,0,0,https://turnbackhoax.id/2025/05/19/salah-video-tni-gandakan-serangan-ke-pusat-kota-israel,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/05/header-tni-gandakan-serangan-ke-israel-678x381.png
12,11/11/2024,Tingkat Korupsi Indonesia Paling Tinggi di Dunia,SALAH,Twitter,"Indonesia Kini Berubah Menjadi Negara Terkorup di Dunia
KPK dilumpuhkan akhir 2019 : Korupsi merajalela
Pandemi membuat defisit anggaran 2020-2022 melonjak : Korupsi tidak terkendali",11/11/2024,,,0,0,0,0,https://turnbackhoax.id/2024/11/11/salah-tingkat-korupsi-indonesia-paling-tinggi-di-dunia,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/11/3-2-678x381.jpg
13,28/07/2025,Narasi “Cara Daftar Transmigrasi ke IKN”,SALAH,Twitter,"“Berikut adalah cara daftar transmigrasi ke IKN (Ibu Kota Nusantara).
1. Pendaftaran di Dinas Tenaga Kerja dan Transmigrasi Daerah
Kunjungi Dinas Tenaga Kerja dan Transmigrasi di kabupaten/kota tempat tinggal untuk mendapatkan informasi tentang program transmigrasi ke IKN (Ibu Kota Nusantara).
Pastikan memenuhi syarat-syarat yang ditentukan, seperti usia, kemampuan bekerja, dan kemauan untuk berpartisipasi dalam program transmigrasi.
2. Pengisian Formulir Pendaftaran
Isi formulir pendaftaran yang disediakan oleh Dinas Tenaga Kerja dan Transmigrasi. Formulir ini biasanya memerlukan informasi seperti data pribadi, pengalaman kerja, dan kemampuan pertanian atau usaha lainnya.”",28/07/2025,,,0,0,0,0,https://turnbackhoax.id/2025/07/28/salah-narasi-cara-daftar-transmigrasi-ke-ikn,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2025/07/header-transmigrasi-ke-ikn-678x381.png
14,30/04/2024,“Ledakan di Israel yang disembunyikan”,SALAH,TikTok,"“Ledakan di israel yg disembunyikan,,,Ayo teman-teman sebarkanvideo ini sebelum pihak tiktokmemblok akun saya lagi”",30/04/2024,,,0,0,0,0,https://turnbackhoax.id/2024/04/30/salah-ledakan-di-israel-yang-disembunyikan-2,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/04/beirut-X-israel-03-678x381.png
15,20/12/2024,Presiden Bisa Copot Pramono-Rano dari Jabatan Gubernur Jakarta,SALAH,Twitter,"“Omonganmu @prabowo yang berapi-api saat menjadi rival @jokowi ternyata tak lebih dari sekedar, kentut babi. Indonesia saat tidak punya Ibu Kota, DKJ yang masuk ke algomerasi Gub-Wagub akan dipilih oleh Presiden. Artinya? Seawaktu-waktu Pram-Rano bisa dicopot dan digantikan oleh boneka, koreksi kalo salah.”
“RIDO Kalah, Prabowo Revisi UU DKJ. Pramono Tidak Akan Jadi Gubernur Jakarta”",20/12/2024,,,0,0,0,0,https://turnbackhoax.id/2024/12/20/salah-presiden-bisa-copot-pramono-rano-dari-jabatan-gubernur-jakarta,,https://turnbackhoax.id/,https://turnbackhoax.id/wp-content/uploads/2024/12/wm-prabowo-copot-pramono-678x381.png
