sample_id,label,data_source,confidence,sample_weight,image_path,domain,date
NEWS_1,valid,original_valid,1.0,1.0,data/raw/news/images\1.jpg,nasional.kompas.com,2024-10-19 17:00:00
NEWS_2,valid,original_valid,1.0,1.0,data/raw/news/images\2.jpg,nasional.kompas.com,2024-10-19 17:00:00
NEWS_3,valid,original_valid,1.0,1.0,data/raw/news/images\3.jpg,nasional.kompas.com,2024-10-19 17:00:00
NEWS_4,valid,original_valid,1.0,1.0,data/raw/news/images\4.jpg,www.kompas.com,2024-10-19 17:00:00
NEWS_5,valid,original_valid,1.0,1.0,data/raw/news/images\5.jpg,health.kompas.com,2024-10-20 15:00:00
NEWS_6,valid,original_valid,1.0,1.0,data/raw/news/images\6.jpg,nasional.kompas.com,2024-10-19 17:00:00
NEWS_7,valid,original_valid,1.0,1.0,data/raw/news/images\7.jpg,www.kompas.com,2024-10-19 17:00:00
NEWS_8,valid,original_valid,1.0,1.0,data/raw/news/images\8.jpg,www.kompas.com,2024-10-19 17:00:00
NEWS_9,valid,original_valid,1.0,1.0,data/raw/news/images\9.jpg,megapolitan.kompas.com,2024-10-19 17:00:00
NEWS_10,valid,original_valid,1.0,1.0,data/raw/news/images\10.jpg,www.kompas.com,2024-10-19 17:00:00
NEWS_11,valid,original_valid,1.0,1.0,data/raw/news/images\11.jpg,nasional.kompas.com,2024-10-20 17:00:00
NEWS_12,valid,original_valid,1.0,1.0,data/raw/news/images\12.jpg,money.kompas.com,2024-10-20 17:00:00
NEWS_13,valid,original_valid,1.0,1.0,data/raw/news/images\13.jpg,health.kompas.com,2024-10-21 14:00:00
NEWS_14,valid,original_valid,1.0,1.0,data/raw/news/images\14.jpg,surabaya.kompas.com,2024-10-20 17:00:00
NEWS_15,valid,original_valid,1.0,1.0,data/raw/news/images\15.jpg,regional.kompas.com,2024-10-20 17:00:00
NEWS_16,valid,original_valid,1.0,1.0,data/raw/news/images\16.jpg,surabaya.kompas.com,2024-10-20 17:00:00
NEWS_17,valid,original_valid,1.0,1.0,data/raw/news/images\17.jpg,nasional.kompas.com,2024-10-20 17:00:00
NEWS_18,valid,original_valid,1.0,1.0,data/raw/news/images\18.jpg,megapolitan.kompas.com,2024-10-21 17:00:00
NEWS_19,valid,original_valid,1.0,1.0,data/raw/news/images\19.jpg,nasional.kompas.com,2024-10-21 17:00:00
NEWS_20,valid,original_valid,1.0,1.0,data/raw/news/images\20.jpg,regional.kompas.com,2024-10-21 17:00:00
NEWS_21,valid,original_valid,1.0,1.0,data/raw/news/images\21.jpg,www.kompas.com,2024-10-21 17:00:00
NEWS_22,valid,original_valid,1.0,1.0,data/raw/news/images\22.jpg,regional.kompas.com,2024-10-21 17:00:00
NEWS_23,valid,original_valid,1.0,1.0,data/raw/news/images\23.jpg,health.kompas.com,2024-10-22 13:00:00
NEWS_24,valid,original_valid,1.0,1.0,data/raw/news/images\24.jpg,megapolitan.kompas.com,2024-10-21 17:00:00
NEWS_25,valid,original_valid,1.0,1.0,data/raw/news/images\25.jpg,nasional.kompas.com,2024-10-21 17:00:00
NEWS_26,valid,original_valid,1.0,1.0,data/raw/news/images\26.jpg,bandung.kompas.com,2024-10-21 17:00:00
NEWS_27,valid,original_valid,1.0,1.0,data/raw/news/images\27.jpg,nasional.kompas.com,2024-10-21 17:00:00
NEWS_28,valid,original_valid,1.0,1.0,data/raw/news/images\28.jpg,money.kompas.com,2024-10-22 17:00:00
NEWS_29,valid,original_valid,1.0,1.0,data/raw/news/images\29.jpg,regional.kompas.com,2024-10-22 17:00:00
NEWS_30,valid,original_valid,1.0,1.0,data/raw/news/images\30.jpg,megapolitan.kompas.com,2024-10-22 17:00:00
NEWS_31,valid,original_valid,1.0,1.0,data/raw/news/images\31.jpg,regional.kompas.com,2024-10-22 17:00:00
NEWS_32,valid,original_valid,1.0,1.0,data/raw/news/images\32.jpg,regional.kompas.com,2024-10-22 17:00:00
NEWS_33,valid,original_valid,1.0,1.0,data/raw/news/images\33.jpg,yogyakarta.kompas.com,2024-10-22 17:00:00
NEWS_34,valid,original_valid,1.0,1.0,data/raw/news/images\34.jpg,medan.kompas.com,2024-10-22 17:00:00
NEWS_35,valid,original_valid,1.0,1.0,data/raw/news/images\35.jpg,www.kompas.com,2024-10-22 17:00:00
NEWS_36,valid,original_valid,1.0,1.0,data/raw/news/images\36.jpg,regional.kompas.com,2024-10-22 17:00:00
NEWS_37,valid,original_valid,1.0,1.0,data/raw/news/images\37.jpg,regional.kompas.com,2024-10-22 17:00:00
NEWS_38,valid,original_valid,1.0,1.0,data/raw/news/images\38.jpg,www.kompas.com,2024-10-22 17:00:00
NEWS_39,valid,original_valid,1.0,1.0,data/raw/news/images\39.jpg,surabaya.kompas.com,2024-10-23 17:00:00
NEWS_40,valid,original_valid,1.0,1.0,data/raw/news/images\40.jpg,health.kompas.com,2024-10-24 14:00:00
